X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,icon_url
-23.0418,16.5388,"44",Cabo Verde,"1585510967000",16.5388,-23.0418,"6","1","0",./5.png
104.9167,11.5500000000001,"45",Cambodia,"1585510967000",11.55,104.9167,"103","0","21",./2.png
11.5021,3.848,"46",Cameroon,"1585510967000",3.848,11.5021,"91","2","2",./7.png
20.9394,6.6111,"47",Central African Republic,"1585510967000",6.6111,20.9394,"3","0","0",./5.png
18.7322,15.4542000000001,"48",Chad,"1585510967000",15.4542,18.7322,"3","0","0",./5.png
-71.543,-35.6751,"49",Chile,"1585510967000",-35.6751,-71.543,"2139","7","75",./0.png
-74.2973,4.5709,"50",Colombia,"1585510967000",4.5709,-74.2973,"702","10","10",./4.png
15.2832,-4.2634,"51",Congo (Brazzaville),"1585510967000",-4.2634,15.2832,"19","0","0",./6.png
15.3070450000001,-4.322447,"52",Congo (Kinshasa),"1585510967000",-4.322447,15.307045,"65","6","2",./7.png
-83.7534,9.7489,"53",Costa Rica,"1585510967000",9.7489,-83.7534,"314","2","3",./3.png
-5.5471,7.54,"54",Cote d'Ivoire,"1585510967000",7.54,-5.5471,"140","0","3",./2.png
15.2,45.1000000000001,"55",Croatia,"1585510967000",45.1,15.2,"713","6","52",./4.png
-77.781167,21.521757,"56",Cuba,"1585510967000",21.521757,-77.781167,"139","3","4",./2.png
33.4299,35.1264,"57",Cyprus,"1585510967000",35.1264,33.4299,"214","5","15",./3.png
15.4730000000001,49.8175,"58",Czechia,"1585510967000",49.8175,15.473,"2743","16","11",./0.png
0,0,"59",Diamond Princess,"1585510967000",0,0,"712","10","597",./4.png
42.5903,11.8251000000001,"60",Djibouti,"1585510967000",11.8251,42.5903,"18","0","0",./6.png
-61.371,15.4150000000001,"61",Dominica,"1585510967000",15.415,-61.371,"11","0","0",./6.png
-70.1627,18.7357000000001,"62",Dominican Republic,"1585510967000",18.7357,-70.1627,"859","39","3",./4.png
-78.1834,-1.8312,"63",Ecuador,"1585510967000",-1.8312,-78.1834,"1890","57","3",./1.png
30.802498,26.8205530000001,"64",Egypt,"1585510967000",26.820553,30.802498,"609","40","132",./4.png
-88.8965,13.7942,"65",El Salvador,"1585510967000",13.7942,-88.8965,"24","0","0",./6.png
10.2679000000001,1.6508,"66",Equatorial Guinea,"1585510967000",1.6508,10.2679,"12","0","0",./6.png
39.7823,15.1794,"67",Eritrea,"1585510967000",15.1794,39.7823,"6","0","0",./5.png
25.0136000000001,58.5953000000001,"68",Estonia,"1585510967000",58.5953,25.0136,"679","3","20",./4.png
31.4659,-26.5225,"69",Eswatini,"1585510967000",-26.5225,31.4659,"9","0","0",./5.png
40.4897,9.145,"70",Ethiopia,"1585510967000",9.145,40.4897,"21","0","1",./6.png
178.065,-17.7134,"71",Fiji,"1585510967000",-17.7134,178.065,"5","0","0",./5.png
11.6094000000001,-0.8037,"72",Gabon,"1585510967000",-0.8037,11.6094,"7","1","0",./5.png
-15.3101,13.4432,"73",Gambia,"1585510967000",13.4432,-15.3101,"3","1","0",./5.png
43.3569000000001,42.3154000000001,"74",Georgia,"1585510967000",42.3154,43.3569,"91","0","18",./7.png
-1.0232,7.9465,"75",Ghana,"1585510967000",7.9465,-1.0232,"152","5","2",./2.png
21.8243000000001,39.0742,"76",Greece,"1585510967000",39.0742,21.8243,"1156","38","52",./1.png
-61.679,12.1165,"77",Grenada,"1585510967000",12.1165,-61.679,"9","0","0",./5.png
-90.2308,15.7835000000001,"78",Guatemala,"1585510967000",15.7835,-90.2308,"34","1","10",./7.png
-9.6966,9.9456,"79",Guinea,"1585510967000",9.9456,-9.6966,"16","0","0",./6.png
-15.1804,11.8037,"80",Guinea-Bissau,"1585510967000",11.8037,-15.1804,"2","0","0",./5.png
-58.93018,4.860416,"81",Guyana,"1585510967000",4.860416,-58.93018,"8","1","0",./5.png
-72.2852,18.9712,"82",Haiti,"1585510967000",18.9712,-72.2852,"15","0","1",./6.png
12.4534,41.9029,"83",Holy See,"1585510967000",41.9029,12.4534,"6","0","0",./5.png
-86.2419,15.2,"84",Honduras,"1585510967000",15.2,-86.2419,"110","2","3",./2.png
19.5033,47.1625000000001,"85",Hungary,"1585510967000",47.1625,19.5033,"408","13","34",./3.png
